Name,Salesforce Account ID,Infrastructure Project ID,Contract Start Date,Live,Salesforce Opportunity ID,SFDC Magento Account ID,Status
La Bottega Dell'Albergo,0011O00002V137mQAB,4aua4mqeidsze,4/1/22,5/10/23,0066O00000ii4zmQAA,0011C00002sBeKCQA0,Live
Vaude Sport GmbH And Co Kg (Germany)_DR3032842 – Adobe Commerce,0013000000vWVosAAG,oyrmeunnhyw7k,4/1/22,5/9/23,0066O00000nJlNcQAK,0011C00002f8YHYQA2,Live
Vita Green Health Products Co Ltd_DR3211188 – Adobe Commerce + MBI,0011O00002QD3aWQAT,jaejpapklbyzu,4/29/22,4/14/23,0066O00000nJiRGQA0,0011C00002upz6TQAQ,Live
CAMP INDIA PVT LTD_DR3262370 – Adobe Commerce + MBI,0015Y0000321aXwQAI,q5yoq6w6txgia,4/27/22,3/30/23,0066O00000nKLP1QAO,0016O000037Iu47QAC,Live
Toyota Motor Asia Pacific Pte. Ltd._DR3064833 – Adobe Commerce + MBI,001a000001ARA3VAAX,es6fl7syneilo,4/1/22,3/15/23,0066O00000nJjYEQA0,0011C00002f8SDAQA2,Live
Cool Corp Ltd - Coolmarket,0015Y000031zyBSQAY,ohxw3kztzb6xe,4/4/22,1/20/23,0066O00000nJeWHQA0,0016O000037IsoZQAS,Live
Sheltered Wings (Vortex Optics) - Additional Instance,0011O00002KxIbcQAF,vfvrdwzt5ujag,4/29/22,11/29/22,0066O00000nJjW8QAK,0011500001coAOXAA2,Live
Db Systel Gmbh_DR3276318 – Adobe Commerce,0011O000022qoLeQAI,uq4kzoirllih6,4/1/22,11/14/22,0066O00000nJndqQAC,0011C00002gEDB1QAO,Live
Gallaher - Cloud Pro,0015Y00002txXENQA2,nhaerh5c4bzgs,4/25/22,10/31/22,0066O00000ii6nFQAQ,0016O000037ITqaQAG,Live
Pricerite.com.hk Limited,0011O00002KxHzdQAF,zr5jkhtuaztzi,4/29/22,10/27/22,0066O00000i7gVjQAI,0011500001IgsHkAAJ,Live
ServoVendi,0015Y00002yItI2QAK,yr7g5timljidi,4/29/22,10/14/22,0066O00000nJbUiQAK,0016O000037ImtSQAS,Live
Hero MotoCorp Ltd_DR3233471 – Adobe Commerce + MBI,0013000000seHdkAAE,b5gpcg435vm6u,4/1/22,10/7/22,0066O00000nJrUGQA0,0011C00001sjIDTQA2,Live
Mooui,0015Y0000323A3nQAE,zb7znunfufqdw,4/4/22,9/28/22,0066O00000nJh1FQAS,0016O000037Ix80QAC,Live
Perfect Fit Brand,0015Y00002nAoLhQAK,326hwly7cfvzi,4/1/22,9/1/22,0066O00000nJi3EQAS,0016O00002qIK1FQAW,Decommission Submitted
